team_1,team_2,venue,pitch_type,weather,toss_winner,toss_decision_bat,team1_avg_runs_last5,team2_avg_runs_last5,team1_avg_wickets_taken_last5,team2_avg_wickets_taken_last5,team1_win_percentage_last10,team2_win_percentage_last10,team1_key_player_form,team2_key_player_form,Format,team1_win
South Africa,Australia,Sydney,Balanced,Cloudy,2,1,179.0,155.0,9,4,56,46,61.0,99.0,ODI,1
Sri Lanka,Australia,Kolkata,Balanced,Rainy,2,0,158.0,143.0,8,4,67,64,46.0,45.0,ODI,1
Australia,Bangladesh,Sydney,Bowling,Rainy,2,1,192.0,156.0,4,6,64,57,21.0,22.0,T20,1
India,Afghanistan,Kolkata,Balanced,Humid,1,1,166.0,195.0,9,7,79,79,64.0,65.0,T20,0
England,New Zealand,London,Batting,Cloudy,1,1,195.0,198.0,5,4,74,56,26.0,98.0,T20,0
England,India,Delhi,Bowling,Rainy,1,1,168.0,169.0,6,7,44,59,81.0,55.0,T20,1
England,Afghanistan,Mumbai,Balanced,Humid,2,1,165.0,145.0,6,4,55,50,52.0,59.0,ODI,1
South Africa,West Indies,Melbourne,Bowling,Clear,1,0,141.0,176.0,9,6,37,49,67.0,71.0,ODI,0
India,Bangladesh,Johannesburg,Bowling,Cloudy,1,1,175.0,186.0,4,8,87,46,69.0,99.0,T20,1
Pakistan,Sri Lanka,Dubai,Balanced,Rainy,1,1,170.0,181.0,5,7,78,66,57.0,88.0,T20,0
Bangladesh,Australia,Johannesburg,Bowling,Cloudy,2,1,168.0,186.0,5,6,41,47,33.0,44.0,T20,0
West Indies,Bangladesh,Melbourne,Batting,Cloudy,2,0,149.0,174.0,4,7,85,64,20.0,22.0,ODI,1
New Zealand,South Africa,Bengaluru,Batting,Cloudy,2,1,148.0,150.0,8,7,39,67,60.0,78.0,ODI,0
Sri Lanka,India,Kolkata,Batting,Humid,1,0,193.0,152.0,4,5,61,31,49.0,41.0,T20,1
Australia,South Africa,Mumbai,Balanced,Humid,2,0,156.0,183.0,6,6,82,38,79.0,93.0,ODI,1
New Zealand,Australia,Bengaluru,Balanced,Clear,1,1,183.0,142.0,5,5,53,41,42.0,85.0,ODI,1
West Indies,Bangladesh,Dubai,Balanced,Humid,2,0,164.0,177.0,7,8,64,32,46.0,79.0,T20,1
Sri Lanka,South Africa,Dubai,Batting,Rainy,1,0,170.0,170.0,9,6,60,58,44.0,25.0,ODI,0
South Africa,Australia,Bengaluru,Balanced,Humid,1,0,170.0,188.0,4,6,30,78,53.0,74.0,T20,0
New Zealand,Australia,Delhi,Balanced,Clear,1,1,194.0,192.0,4,9,40,84,33.0,92.0,T20,0
South Africa,Pakistan,Delhi,Bowling,Cloudy,1,1,181.0,191.0,9,6,75,41,62.0,96.0,T20,1
England,Bangladesh,Sydney,Batting,Cloudy,2,0,178.0,162.0,4,5,74,49,28.0,36.0,ODI,1
England,South Africa,Melbourne,Bowling,Clear,1,1,194.0,185.0,4,4,39,52,86.0,80.0,T20,1
New Zealand,South Africa,Chennai,Batting,Clear,1,0,186.0,147.0,4,5,60,48,20.0,83.0,ODI,1
India,England,Kolkata,Batting,Humid,2,1,175.0,195.0,7,9,55,77,39.0,94.0,T20,0
Sri Lanka,England,Johannesburg,Batting,Clear,2,1,173.0,169.0,7,7,41,64,65.0,71.0,T20,0
Pakistan,India,Sydney,Balanced,Clear,1,0,188.0,196.0,6,8,36,73,33.0,89.0,T20,0
Afghanistan,England,Mumbai,Bowling,Clear,2,0,194.0,159.0,7,7,81,31,81.0,67.0,T20,1
Australia,South Africa,Chennai,Bowling,Rainy,2,1,162.0,195.0,8,5,44,72,42.0,40.0,T20,0
Pakistan,Afghanistan,Kolkata,Bowling,Cloudy,1,1,193.0,148.0,4,7,30,77,34.0,85.0,T20,1
Bangladesh,West Indies,Sydney,Bowling,Cloudy,2,0,173.0,181.0,5,7,84,89,22.0,89.0,T20,0
Australia,South Africa,Dubai,Bowling,Humid,2,1,195.0,152.0,6,4,88,41,28.0,37.0,T20,1
Pakistan,West Indies,Mumbai,Balanced,Rainy,2,1,146.0,156.0,6,4,34,37,32.0,52.0,ODI,0
New Zealand,England,Melbourne,Balanced,Cloudy,2,1,172.0,177.0,5,5,53,63,53.0,46.0,T20,0
Pakistan,Sri Lanka,Melbourne,Batting,Clear,2,0,190.0,182.0,9,6,57,50,92.0,22.0,T20,1
Australia,New Zealand,London,Batting,Clear,1,0,197.0,161.0,5,7,72,70,78.0,67.0,T20,1
Afghanistan,New Zealand,Melbourne,Bowling,Humid,1,0,152.0,187.0,8,6,60,51,94.0,95.0,ODI,0
South Africa,Australia,Kolkata,Balanced,Humid,1,0,185.0,197.0,5,6,31,72,43.0,30.0,T20,0
Pakistan,Sri Lanka,Delhi,Bowling,Clear,1,0,142.0,161.0,8,7,56,52,20.0,87.0,ODI,0
West Indies,South Africa,London,Batting,Humid,2,0,156.0,147.0,4,5,49,40,40.0,65.0,ODI,1
Afghanistan,Pakistan,Melbourne,Bowling,Cloudy,2,0,187.0,144.0,7,8,31,80,22.0,62.0,ODI,0
India,Afghanistan,Melbourne,Batting,Cloudy,1,1,196.0,172.0,9,6,64,33,27.0,96.0,T20,1
New Zealand,Australia,Melbourne,Balanced,Humid,2,1,144.0,141.0,7,8,47,57,35.0,69.0,ODI,0
England,Pakistan,Chennai,Bowling,Rainy,1,1,180.0,147.0,4,8,79,52,97.0,55.0,ODI,1
South Africa,Afghanistan,London,Batting,Cloudy,1,0,188.0,168.0,5,6,37,53,89.0,80.0,T20,1
New Zealand,India,Bengaluru,Batting,Humid,2,1,173.0,145.0,9,9,35,86,96.0,62.0,ODI,0
West Indies,Australia,Melbourne,Bowling,Clear,2,1,195.0,149.0,8,8,35,47,50.0,39.0,T20,1
India,Sri Lanka,Mumbai,Balanced,Clear,2,0,164.0,169.0,5,8,68,73,83.0,58.0,T20,0
West Indies,Pakistan,Dubai,Batting,Clear,1,0,160.0,172.0,6,5,60,35,62.0,22.0,ODI,1
India,West Indies,Sydney,Batting,Clear,2,1,150.0,163.0,5,4,58,66,81.0,76.0,ODI,0
New Zealand,Australia,Mumbai,Bowling,Clear,1,0,161.0,155.0,4,7,69,53,43.0,77.0,ODI,1
England,Afghanistan,Melbourne,Batting,Humid,1,0,198.0,151.0,5,8,80,74,69.0,23.0,T20,1
England,South Africa,Delhi,Balanced,Humid,1,0,187.0,144.0,8,7,76,38,59.0,76.0,ODI,1
Australia,Bangladesh,Kolkata,Batting,Rainy,2,0,185.0,193.0,9,4,60,62,53.0,71.0,T20,0
Sri Lanka,South Africa,Mumbai,Bowling,Clear,2,1,198.0,151.0,4,8,73,56,36.0,40.0,T20,1
New Zealand,Afghanistan,Dubai,Balanced,Clear,2,0,161.0,169.0,9,4,88,64,89.0,58.0,ODI,1
Australia,Bangladesh,Johannesburg,Bowling,Cloudy,1,0,154.0,172.0,6,6,82,82,33.0,47.0,ODI,0
Australia,Pakistan,Dubai,Balanced,Cloudy,1,1,152.0,181.0,5,5,40,89,34.0,29.0,ODI,0
South Africa,West Indies,Delhi,Bowling,Clear,2,0,168.0,183.0,6,4,80,55,67.0,96.0,T20,0
England,Pakistan,Bengaluru,Bowling,Cloudy,2,1,164.0,177.0,7,8,32,68,83.0,84.0,T20,0
Bangladesh,New Zealand,Johannesburg,Balanced,Rainy,1,0,150.0,189.0,5,7,46,58,61.0,26.0,ODI,0
England,India,Melbourne,Batting,Cloudy,1,0,186.0,195.0,4,4,57,70,55.0,81.0,T20,0
Bangladesh,South Africa,London,Bowling,Humid,1,0,184.0,157.0,7,5,62,47,55.0,65.0,T20,1
Sri Lanka,New Zealand,Johannesburg,Bowling,Rainy,2,1,155.0,174.0,6,8,59,59,48.0,87.0,ODI,0
Afghanistan,West Indies,Bengaluru,Balanced,Cloudy,2,0,188.0,174.0,4,6,86,82,21.0,30.0,T20,1
England,Bangladesh,Kolkata,Balanced,Humid,2,1,147.0,167.0,8,4,85,85,21.0,73.0,ODI,0
Afghanistan,New Zealand,Chennai,Batting,Cloudy,2,1,156.0,178.0,8,4,73,85,30.0,22.0,ODI,0
Bangladesh,Afghanistan,Chennai,Batting,Humid,2,1,183.0,162.0,9,7,76,46,48.0,72.0,T20,1
England,Bangladesh,London,Batting,Rainy,2,0,177.0,175.0,8,9,76,81,87.0,67.0,T20,1
Sri Lanka,England,Dubai,Bowling,Cloudy,2,1,195.0,175.0,5,9,43,80,83.0,90.0,T20,0
Australia,West Indies,Mumbai,Batting,Cloudy,2,1,184.0,166.0,6,5,54,49,75.0,21.0,T20,1
Sri Lanka,New Zealand,London,Bowling,Clear,2,1,193.0,182.0,9,9,65,55,27.0,90.0,T20,1
New Zealand,West Indies,Bengaluru,Balanced,Rainy,2,0,156.0,189.0,7,4,79,83,32.0,62.0,T20,0
Pakistan,West Indies,Melbourne,Batting,Rainy,2,1,170.0,166.0,9,9,84,77,23.0,99.0,T20,1
Australia,West Indies,Kolkata,Bowling,Rainy,2,0,190.0,153.0,8,7,48,71,24.0,27.0,T20,1
Bangladesh,India,London,Bowling,Cloudy,2,1,161.0,170.0,4,5,73,41,66.0,91.0,ODI,1
Sri Lanka,Australia,Chennai,Bowling,Cloudy,1,0,155.0,169.0,8,5,71,71,31.0,46.0,ODI,0
West Indies,England,Sydney,Batting,Cloudy,1,1,153.0,172.0,9,7,37,46,70.0,45.0,ODI,0
Sri Lanka,Australia,Kolkata,Batting,Cloudy,2,1,162.0,175.0,6,8,69,81,71.0,22.0,ODI,0
Australia,Sri Lanka,Kolkata,Bowling,Cloudy,1,1,196.0,162.0,5,5,41,65,88.0,20.0,T20,1
Pakistan,South Africa,London,Batting,Humid,2,1,191.0,165.0,9,5,51,79,78.0,88.0,T20,1
Australia,England,Johannesburg,Bowling,Cloudy,2,1,152.0,190.0,9,9,86,73,93.0,44.0,T20,0
Afghanistan,West Indies,Melbourne,Balanced,Clear,1,1,145.0,191.0,8,6,86,67,77.0,97.0,ODI,0
New Zealand,Afghanistan,Melbourne,Bowling,Humid,1,0,144.0,193.0,4,8,38,78,31.0,79.0,ODI,0
New Zealand,Afghanistan,Mumbai,Batting,Clear,1,1,170.0,174.0,8,4,48,42,60.0,70.0,ODI,1
West Indies,Pakistan,Mumbai,Bowling,Humid,2,0,175.0,199.0,8,9,43,83,75.0,89.0,T20,0
Australia,England,Melbourne,Batting,Humid,1,0,193.0,192.0,8,6,89,66,62.0,74.0,T20,1
South Africa,New Zealand,Mumbai,Batting,Cloudy,2,0,182.0,156.0,4,8,69,85,20.0,84.0,ODI,0
India,Sri Lanka,Johannesburg,Balanced,Cloudy,2,0,169.0,161.0,9,8,60,87,46.0,22.0,ODI,0
Sri Lanka,Bangladesh,Bengaluru,Bowling,Clear,2,1,175.0,169.0,9,6,84,44,20.0,46.0,T20,1
Sri Lanka,Australia,Delhi,Bowling,Clear,1,0,147.0,179.0,4,6,64,40,68.0,73.0,ODI,0
West Indies,India,Dubai,Balanced,Rainy,2,1,181.0,188.0,6,9,79,49,98.0,79.0,T20,1
Australia,New Zealand,Melbourne,Bowling,Rainy,1,1,168.0,164.0,4,5,57,30,89.0,71.0,ODI,1
South Africa,Bangladesh,Sydney,Batting,Rainy,1,1,183.0,189.0,4,8,88,70,20.0,55.0,T20,1
West Indies,Afghanistan,Bengaluru,Batting,Rainy,1,0,170.0,193.0,6,4,88,82,31.0,69.0,ODI,0
West Indies,Pakistan,Chennai,Balanced,Cloudy,2,0,166.0,190.0,6,4,84,60,92.0,30.0,T20,1
South Africa,Bangladesh,Sydney,Batting,Cloudy,2,1,158.0,174.0,6,6,44,77,51.0,33.0,ODI,0
Afghanistan,Australia,Melbourne,Bowling,Clear,1,1,146.0,191.0,7,6,84,80,68.0,29.0,ODI,0
Pakistan,England,Melbourne,Balanced,Humid,2,1,197.0,157.0,6,6,32,86,35.0,22.0,T20,1
New Zealand,South Africa,Kolkata,Balanced,Rainy,1,0,185.0,194.0,5,9,44,64,78.0,25.0,T20,0
New Zealand,England,Chennai,Balanced,Rainy,1,1,170.0,180.0,9,7,54,71,94.0,35.0,ODI,0
Pakistan,South Africa,Chennai,Balanced,Rainy,1,0,199.0,159.0,5,4,43,41,36.0,70.0,T20,1
Afghanistan,Bangladesh,Mumbai,Batting,Rainy,2,1,162.0,187.0,7,4,69,62,56.0,71.0,T20,0
Australia,India,Bengaluru,Balanced,Rainy,1,1,162.0,197.0,4,6,53,77,32.0,89.0,T20,0
West Indies,Sri Lanka,Kolkata,Bowling,Clear,2,1,169.0,199.0,5,9,71,76,79.0,83.0,T20,0
India,South Africa,London,Bowling,Rainy,2,0,153.0,149.0,7,7,55,38,25.0,45.0,ODI,1
West Indies,England,Chennai,Batting,Clear,1,1,149.0,153.0,5,9,61,57,71.0,82.0,ODI,1
South Africa,New Zealand,Melbourne,Bowling,Humid,1,1,195.0,175.0,4,6,82,48,72.0,25.0,T20,1
South Africa,Australia,Mumbai,Balanced,Humid,2,0,144.0,165.0,8,8,74,50,50.0,45.0,ODI,0
Bangladesh,England,London,Batting,Cloudy,2,1,186.0,191.0,7,9,59,82,48.0,98.0,T20,0
New Zealand,England,Johannesburg,Bowling,Clear,1,1,168.0,152.0,5,9,88,41,82.0,94.0,ODI,1
Afghanistan,Bangladesh,Delhi,Batting,Humid,2,0,168.0,146.0,7,8,37,85,53.0,41.0,ODI,0
Australia,England,Mumbai,Balanced,Humid,2,0,173.0,169.0,7,8,76,45,27.0,24.0,T20,1
England,West Indies,Delhi,Batting,Clear,1,0,182.0,152.0,5,5,51,38,91.0,49.0,ODI,1
New Zealand,England,Mumbai,Bowling,Rainy,2,0,187.0,140.0,6,4,63,85,40.0,79.0,ODI,1
New Zealand,South Africa,Sydney,Balanced,Clear,1,1,146.0,159.0,8,6,41,83,20.0,72.0,ODI,0
Australia,Sri Lanka,Sydney,Bowling,Humid,1,1,174.0,180.0,8,6,50,45,60.0,66.0,T20,1
Australia,Afghanistan,Mumbai,Balanced,Clear,2,1,158.0,155.0,7,4,68,72,20.0,24.0,ODI,1
England,Sri Lanka,Johannesburg,Balanced,Clear,2,0,170.0,184.0,4,6,46,77,70.0,27.0,T20,0
Afghanistan,England,Kolkata,Bowling,Humid,1,0,162.0,168.0,7,4,79,72,70.0,77.0,ODI,0
Sri Lanka,West Indies,Chennai,Batting,Clear,1,0,188.0,143.0,6,6,62,36,69.0,71.0,ODI,1
Afghanistan,Pakistan,Chennai,Bowling,Cloudy,2,0,146.0,180.0,7,4,37,52,40.0,44.0,ODI,0
Sri Lanka,Bangladesh,Dubai,Balanced,Humid,2,1,154.0,178.0,8,4,52,74,69.0,48.0,ODI,0
New Zealand,Bangladesh,Johannesburg,Batting,Rainy,1,1,198.0,158.0,4,7,48,40,30.0,26.0,T20,1
Sri Lanka,Bangladesh,London,Balanced,Rainy,2,0,189.0,159.0,5,5,80,71,98.0,26.0,T20,1
Afghanistan,South Africa,Chennai,Bowling,Clear,2,1,198.0,194.0,9,5,59,51,77.0,70.0,T20,1
England,Australia,Delhi,Bowling,Clear,2,0,194.0,186.0,4,7,74,38,46.0,22.0,T20,1
Australia,Bangladesh,Chennai,Balanced,Clear,2,1,163.0,179.0,7,5,61,82,20.0,42.0,T20,0
Sri Lanka,England,London,Balanced,Rainy,2,1,153.0,159.0,4,8,50,49,47.0,58.0,ODI,0
Australia,Bangladesh,Mumbai,Balanced,Clear,2,1,183.0,182.0,8,4,37,76,31.0,32.0,T20,0
India,Australia,Kolkata,Batting,Clear,2,1,198.0,149.0,8,9,42,41,53.0,98.0,T20,1
Sri Lanka,Pakistan,Melbourne,Batting,Clear,1,0,177.0,161.0,4,8,61,72,72.0,80.0,ODI,1
New Zealand,India,Bengaluru,Balanced,Humid,1,1,167.0,148.0,9,9,43,66,44.0,66.0,ODI,1
Australia,Sri Lanka,Johannesburg,Batting,Clear,1,1,189.0,180.0,7,5,35,62,51.0,66.0,T20,0
Bangladesh,New Zealand,Bengaluru,Balanced,Rainy,1,1,167.0,151.0,5,9,40,31,49.0,69.0,ODI,1
Afghanistan,India,Melbourne,Balanced,Clear,2,1,170.0,170.0,5,6,53,33,90.0,36.0,ODI,1
Sri Lanka,Afghanistan,Melbourne,Batting,Cloudy,1,1,193.0,191.0,7,4,87,40,47.0,82.0,T20,1
Pakistan,India,London,Balanced,Rainy,2,1,164.0,191.0,6,8,70,68,45.0,95.0,T20,0
New Zealand,Australia,Delhi,Balanced,Cloudy,1,1,155.0,166.0,8,9,38,89,82.0,31.0,ODI,0
Sri Lanka,Afghanistan,Kolkata,Balanced,Cloudy,1,0,145.0,174.0,6,7,60,84,91.0,98.0,ODI,0
Afghanistan,South Africa,Kolkata,Bowling,Clear,1,0,174.0,141.0,7,8,32,89,91.0,22.0,ODI,1
West Indies,India,Bengaluru,Batting,Clear,1,0,171.0,194.0,6,5,74,51,99.0,22.0,T20,0
New Zealand,England,Dubai,Bowling,Humid,1,1,142.0,155.0,5,9,79,44,64.0,77.0,ODI,1
New Zealand,Afghanistan,London,Balanced,Cloudy,1,1,142.0,174.0,8,5,55,32,21.0,59.0,ODI,0
Afghanistan,India,Kolkata,Balanced,Rainy,2,0,182.0,160.0,5,9,77,50,95.0,57.0,T20,1
New Zealand,Pakistan,Johannesburg,Bowling,Humid,1,0,178.0,148.0,8,5,38,48,34.0,35.0,ODI,1
Pakistan,India,Kolkata,Balanced,Clear,1,0,155.0,190.0,4,6,32,42,67.0,65.0,T20,0
Afghanistan,West Indies,Melbourne,Batting,Cloudy,2,1,190.0,161.0,7,6,38,65,74.0,20.0,T20,1
India,Afghanistan,Delhi,Batting,Clear,2,0,173.0,169.0,9,6,80,77,37.0,72.0,T20,0
India,Pakistan,Delhi,Balanced,Clear,1,1,164.0,151.0,9,6,47,54,82.0,33.0,ODI,1
England,New Zealand,Johannesburg,Batting,Clear,1,1,160.0,167.0,5,6,44,31,70.0,40.0,ODI,1
Australia,Pakistan,Johannesburg,Batting,Humid,2,0,176.0,174.0,7,8,88,70,24.0,36.0,T20,1
West Indies,New Zealand,Chennai,Balanced,Humid,1,0,181.0,169.0,7,8,43,45,79.0,46.0,T20,0
Sri Lanka,Pakistan,Delhi,Balanced,Clear,1,0,160.0,148.0,6,9,35,86,38.0,79.0,ODI,0
India,West Indies,London,Balanced,Cloudy,1,1,155.0,179.0,6,4,85,61,61.0,37.0,ODI,1
Australia,Sri Lanka,Melbourne,Balanced,Humid,2,1,199.0,186.0,8,9,82,70,83.0,51.0,T20,1
New Zealand,South Africa,Sydney,Balanced,Cloudy,2,1,155.0,160.0,5,7,82,87,20.0,36.0,ODI,1
New Zealand,Bangladesh,Bengaluru,Batting,Clear,1,1,144.0,197.0,8,4,83,78,58.0,58.0,T20,0
Bangladesh,India,Mumbai,Bowling,Clear,1,1,146.0,181.0,9,9,73,85,48.0,48.0,ODI,0
Afghanistan,West Indies,Melbourne,Bowling,Cloudy,1,0,140.0,166.0,6,6,85,35,63.0,43.0,ODI,1
England,Bangladesh,Sydney,Bowling,Humid,1,1,147.0,150.0,8,9,47,80,37.0,61.0,ODI,0
England,South Africa,Kolkata,Balanced,Rainy,1,0,163.0,169.0,9,4,62,35,29.0,76.0,ODI,1
South Africa,Pakistan,Chennai,Bowling,Rainy,1,1,152.0,160.0,8,8,49,74,80.0,36.0,ODI,0
India,New Zealand,Sydney,Batting,Cloudy,1,0,172.0,191.0,6,7,47,42,34.0,47.0,T20,0
England,New Zealand,Melbourne,Batting,Cloudy,1,0,170.0,150.0,9,6,65,49,27.0,42.0,ODI,1
Australia,Bangladesh,Dubai,Batting,Cloudy,1,1,160.0,198.0,8,4,37,37,45.0,31.0,T20,0
West Indies,Afghanistan,London,Bowling,Rainy,1,1,161.0,183.0,7,7,50,61,65.0,91.0,T20,0
England,India,Mumbai,Batting,Humid,1,1,159.0,142.0,4,8,40,52,56.0,75.0,ODI,1
South Africa,England,Melbourne,Batting,Cloudy,1,0,161.0,143.0,4,6,34,47,80.0,54.0,ODI,1
West Indies,Pakistan,Johannesburg,Bowling,Rainy,1,0,146.0,186.0,9,7,52,89,55.0,48.0,ODI,0
New Zealand,India,Dubai,Bowling,Rainy,1,0,199.0,184.0,6,9,66,73,54.0,21.0,T20,1
South Africa,England,Melbourne,Bowling,Cloudy,2,1,142.0,141.0,6,5,42,81,44.0,22.0,ODI,0
Australia,Bangladesh,Chennai,Balanced,Rainy,2,0,159.0,141.0,6,8,74,77,33.0,43.0,ODI,1
West Indies,New Zealand,Melbourne,Batting,Clear,2,1,176.0,147.0,5,4,73,39,55.0,61.0,ODI,1
Australia,New Zealand,Kolkata,Balanced,Clear,2,0,154.0,150.0,7,5,37,75,23.0,23.0,ODI,0
Sri Lanka,Pakistan,Johannesburg,Batting,Clear,1,1,189.0,192.0,8,7,35,83,83.0,89.0,T20,0
South Africa,Sri Lanka,Dubai,Balanced,Humid,2,1,146.0,184.0,9,8,32,72,87.0,96.0,ODI,0
Sri Lanka,India,London,Bowling,Clear,1,1,198.0,191.0,5,5,62,86,68.0,98.0,T20,0
New Zealand,England,Chennai,Batting,Clear,1,0,193.0,180.0,4,9,55,70,80.0,64.0,T20,1
South Africa,Sri Lanka,Chennai,Batting,Clear,1,1,197.0,151.0,9,8,71,75,71.0,46.0,T20,1
West Indies,South Africa,Delhi,Balanced,Rainy,2,0,155.0,173.0,7,5,50,45,27.0,70.0,ODI,0
England,South Africa,Melbourne,Batting,Clear,2,1,185.0,157.0,7,8,89,54,62.0,53.0,T20,1
West Indies,South Africa,Kolkata,Balanced,Humid,2,0,173.0,147.0,8,9,35,41,47.0,80.0,ODI,1
South Africa,England,Bengaluru,Bowling,Humid,2,0,193.0,183.0,5,9,35,67,84.0,40.0,T20,0
New Zealand,England,Mumbai,Balanced,Humid,2,1,187.0,166.0,9,6,42,67,50.0,72.0,T20,0
West Indies,England,London,Balanced,Humid,1,1,173.0,180.0,9,9,52,42,66.0,31.0,T20,1
Sri Lanka,Pakistan,Mumbai,Batting,Humid,2,0,151.0,141.0,9,7,62,54,28.0,92.0,ODI,0
West Indies,Sri Lanka,Chennai,Balanced,Clear,2,1,188.0,141.0,7,7,56,89,49.0,22.0,ODI,1
India,Bangladesh,Kolkata,Bowling,Rainy,2,0,156.0,183.0,8,5,67,59,91.0,89.0,ODI,0
Sri Lanka,Pakistan,Bengaluru,Balanced,Rainy,2,1,175.0,149.0,7,6,59,38,75.0,22.0,ODI,1
Australia,Afghanistan,Mumbai,Balanced,Clear,1,1,167.0,189.0,6,7,53,86,80.0,52.0,T20,0
Bangladesh,South Africa,Bengaluru,Batting,Humid,1,0,170.0,184.0,5,6,35,62,30.0,62.0,T20,0
India,Afghanistan,Delhi,Bowling,Rainy,1,0,169.0,182.0,9,7,50,89,69.0,43.0,T20,0
West Indies,Bangladesh,Melbourne,Bowling,Rainy,1,0,169.0,170.0,9,8,55,83,78.0,49.0,ODI,0
Pakistan,India,Kolkata,Bowling,Cloudy,2,0,170.0,194.0,9,7,52,38,98.0,39.0,T20,1
Australia,India,Delhi,Batting,Cloudy,2,1,146.0,156.0,5,7,48,76,96.0,44.0,ODI,0
Australia,New Zealand,Mumbai,Bowling,Cloudy,2,1,167.0,143.0,7,9,66,52,86.0,86.0,ODI,1
England,Australia,Chennai,Bowling,Rainy,2,1,163.0,196.0,4,6,81,33,74.0,94.0,T20,0
New Zealand,Australia,Melbourne,Balanced,Cloudy,1,1,184.0,157.0,6,8,56,58,22.0,73.0,T20,1
New Zealand,South Africa,Kolkata,Bowling,Cloudy,2,1,145.0,155.0,8,8,73,58,43.0,80.0,ODI,0
Pakistan,England,Kolkata,Balanced,Rainy,2,0,190.0,175.0,9,6,40,73,98.0,29.0,T20,1
Sri Lanka,Afghanistan,Bengaluru,Batting,Rainy,2,1,187.0,172.0,7,8,69,48,59.0,90.0,T20,1
Australia,Sri Lanka,Dubai,Batting,Rainy,2,1,184.0,190.0,5,5,85,81,87.0,84.0,T20,0
Australia,Bangladesh,Dubai,Balanced,Clear,1,0,146.0,183.0,8,7,50,84,76.0,35.0,ODI,0
West Indies,Bangladesh,Bengaluru,Balanced,Rainy,1,0,152.0,194.0,7,8,83,88,48.0,40.0,T20,0
Sri Lanka,New Zealand,Johannesburg,Batting,Cloudy,1,0,169.0,181.0,4,6,37,75,29.0,89.0,T20,0
South Africa,Afghanistan,Kolkata,Balanced,Clear,1,0,154.0,142.0,6,5,56,33,55.0,26.0,ODI,1
New Zealand,West Indies,Kolkata,Bowling,Cloudy,2,1,195.0,163.0,4,5,70,56,62.0,32.0,T20,1
England,Pakistan,Melbourne,Batting,Clear,1,1,196.0,176.0,7,8,69,34,42.0,90.0,T20,1
South Africa,Afghanistan,Kolkata,Bowling,Cloudy,1,1,170.0,149.0,9,5,36,60,36.0,38.0,T20,1
West Indies,Australia,Bengaluru,Bowling,Cloudy,1,0,199.0,182.0,4,7,71,81,68.0,36.0,T20,1
Pakistan,South Africa,Johannesburg,Balanced,Clear,1,0,141.0,157.0,7,4,53,81,83.0,73.0,ODI,0
Sri Lanka,India,Kolkata,Balanced,Rainy,2,1,191.0,143.0,7,7,79,70,67.0,92.0,ODI,1
Bangladesh,Australia,Melbourne,Balanced,Humid,1,1,170.0,171.0,4,4,70,76,57.0,62.0,ODI,0
England,New Zealand,Johannesburg,Balanced,Cloudy,2,0,158.0,148.0,6,9,60,69,81.0,74.0,ODI,1
India,New Zealand,Melbourne,Bowling,Rainy,2,0,172.0,192.0,7,8,38,77,45.0,33.0,T20,0
Sri Lanka,England,Melbourne,Balanced,Rainy,1,0,156.0,141.0,9,5,49,61,68.0,47.0,ODI,1
India,West Indies,Sydney,Batting,Humid,2,0,173.0,154.0,9,5,36,70,46.0,64.0,ODI,0
Sri Lanka,Afghanistan,Sydney,Balanced,Clear,2,1,184.0,143.0,8,4,36,66,86.0,58.0,ODI,1
India,Pakistan,Sydney,Bowling,Rainy,2,1,151.0,178.0,9,4,68,45,36.0,41.0,ODI,0
West Indies,Bangladesh,Dubai,Balanced,Cloudy,2,0,147.0,148.0,8,5,65,39,20.0,33.0,ODI,1
Sri Lanka,Bangladesh,Dubai,Balanced,Clear,2,0,182.0,171.0,4,9,73,33,60.0,64.0,T20,1
South Africa,England,Dubai,Batting,Rainy,2,0,141.0,176.0,6,5,87,35,20.0,55.0,ODI,1
India,South Africa,Kolkata,Bowling,Clear,1,1,146.0,167.0,5,7,49,55,20.0,81.0,ODI,0
South Africa,Sri Lanka,Johannesburg,Batting,Humid,2,0,190.0,171.0,7,5,38,67,99.0,24.0,T20,1
Sri Lanka,New Zealand,Dubai,Bowling,Cloudy,2,1,161.0,161.0,4,4,38,84,21.0,93.0,ODI,0
Bangladesh,England,Mumbai,Batting,Rainy,1,1,147.0,185.0,8,7,56,58,28.0,42.0,ODI,0
England,India,Delhi,Balanced,Rainy,2,0,164.0,169.0,8,4,39,78,20.0,44.0,ODI,0
Sri Lanka,Australia,Melbourne,Bowling,Humid,1,0,191.0,151.0,4,9,32,52,58.0,32.0,T20,1
Australia,Bangladesh,Chennai,Batting,Humid,1,1,170.0,185.0,6,7,57,74,36.0,96.0,T20,0
Afghanistan,England,Mumbai,Bowling,Clear,1,1,185.0,184.0,4,6,48,83,49.0,20.0,T20,0
New Zealand,Afghanistan,Sydney,Batting,Humid,1,0,146.0,141.0,8,5,88,47,68.0,80.0,ODI,1
Sri Lanka,Pakistan,Melbourne,Batting,Humid,1,0,145.0,166.0,5,4,44,88,83.0,27.0,ODI,0
Australia,Bangladesh,Johannesburg,Batting,Clear,2,0,198.0,141.0,7,4,73,48,52.0,28.0,ODI,1
Sri Lanka,West Indies,Melbourne,Balanced,Clear,1,1,153.0,170.0,6,7,87,79,94.0,49.0,ODI,1
